source,webp,bytes_webp
repasofinal.jpg,repasofinal.webp,46128
"particulas,avanzadas.jpg",particulas_avanzadas.webp,74792
"permiso,causativo.jpg",permiso_causativo.webp,113642
transformaciones.jpg,transformaciones.webp,109922
rutina.jpg,rutina.webp,88264
"causa,consecuencias.jpg",causa_consecuencias.webp,105818
photo_2025-11-03_18-29-19.jpg,photo_2025_11_03_18_29_19.webp,103138
"permiso, prohibicion.jpg",permiso_prohibicion.webp,66038
intencion.jpg,intencion.webp,109138
photo_2025-11-03_18-29-12.jpg,photo_2025_11_03_18_29_12.webp,72232
"evetnos,fiestas.jpg",evetnos_fiestas.webp,183792
suposiciones.jpg,suposiciones.webp,115500
condicionales.jpg,condicionales.webp,89128
pasado.jpg,pasado.webp,31802
intension.jpg,intension.webp,53938
"narrar,historias.jpg",narrar_historias.webp,70764
photo_2025-11-03_18-28-54.jpg,photo_2025_11_03_18_28_54.webp,21722
"opiniones,consejo.jpg",opiniones_consejo.webp,67980
photo_2025-11-03_18-28-49.jpg,photo_2025_11_03_18_28_49.webp,52062
viajes.jpg,viajes.webp,57628
photo_2025-11-03_18-28-45.jpg,photo_2025_11_03_18_28_45.webp,18004
hospital.jpg,hospital.webp,35220
"deseo,esperanzas.jpg",deseo_esperanzas.webp,68956
comparaciones.jpg,comparaciones.webp,46370
restaurante.jpg,restaurante.webp,58582
darintrucciones.jpg,darintrucciones.webp,67484
solicitudformal.jpg,solicitudformal.webp,52320
"planes,citas.jpg",planes_citas.webp,49836
oficina.jpg,oficina.webp,73192
trasnporte.jpg,trasnporte.webp,32704
casa.jpg,casa.webp,42220
escuela.jpg,escuela.webp,55094
